timestamp,user,cage,transaction
2024-05-15T00:00:09,1068036,4,-156.2
2024-05-15T00:00:28,5477656,4,218.03
2024-05-15T00:00:29,8475674,3,171.23
2024-05-15T00:00:31,3025206,2,274.39
2024-05-15T00:00:33,8755968,2,969.16
2024-05-15T00:00:33,9248709,3,557.5
2024-05-15T00:00:53,9129845,1,612.75
2024-05-15T00:00:54,5788670,3,517.83
2024-05-15T00:00:55,8685841,3,-2979.48
2024-05-15T00:01:16,9718347,2,1917.45
2024-05-15T00:01:17,3842509,1,5467.93
2024-05-15T00:01:32,4988110,4,-197.2
2024-05-15T00:01:34,8447435,3,258.93
2024-05-15T00:01:50,8364759,4,264.88
2024-05-15T00:01:53,8988138,3,237.53
2024-05-15T00:02:02,9189572,1,-104.26
2024-05-15T00:02:02,6468902,4,287.27
2024-05-15T00:02:05,3035095,3,418.12
2024-05-15T00:02:12,2652749,4,219.11
2024-05-15T00:02:14,1939689,2,752.79
2024-05-15T00:02:17,1111590,2,1721.59
2024-05-15T00:02:40,2772065,1,104.5
2024-05-15T00:03:10,5242882,3,-209.33
2024-05-15T00:03:18,8590636,4,337.55
2024-05-15T00:03:20,1664935,3,-401.29
2024-05-15T00:03:34,8788144,4,319.78
2024-05-15T00:03:49,5769808,3,-120.72
2024-05-15T00:03:51,6566666,1,1699.89
2024-05-15T00:04:01,3952923,3,290.29
2024-05-15T00:04:07,7604072,4,-521.64
2024-05-15T00:04:11,2722502,4,-486.83
2024-05-15T00:04:14,5903943,4,179.09
2024-05-15T00:04:57,1379788,4,424.09
2024-05-15T00:05:04,8764760,2,151.35
2024-05-15T00:05:08,3584449,4,156.97
2024-05-15T00:05:09,8826734,1,226.55
2024-05-15T00:05:10,2590138,3,384.47
2024-05-15T00:05:31,6802029,1,1265.43
2024-05-15T00:05:53,9020196,4,213.94
2024-05-15T00:05:56,4353927,3,116.74
2024-05-15T00:06:14,8748417,1,436.36
2024-05-15T00:06:16,4905547,2,321.81
2024-05-15T00:06:21,3352970,2,1170.56
2024-05-15T00:06:27,5419832,2,553.63
2024-05-15T00:06:35,9788641,1,827.4
2024-05-15T00:06:40,8042150,2,1024.25
2024-05-15T00:06:48,3945345,1,-147.48
2024-05-15T00:06:49,1445600,2,128.0
2024-05-15T00:06:52,7538453,4,271.19
2024-05-15T00:06:55,1820744,4,2070.99
2024-05-15T00:06:57,1142939,1,-160.79
2024-05-15T00:07:01,4650886,4,1981.59
2024-05-15T00:07:09,7942614,4,158.6
2024-05-15T00:07:12,6555879,1,939.77
2024-05-15T00:07:19,9119723,1,-3962.45
2024-05-15T00:07:22,9443890,3,435.38
2024-05-15T00:07:22,8376986,3,342.16
2024-05-15T00:07:23,4432435,2,524.85
2024-05-15T00:07:33,3094719,2,633.78
2024-05-15T00:07:44,3466496,1,231.0
2024-05-15T00:08:02,7021680,2,705.64
2024-05-15T00:08:08,9531547,2,2801.6
2024-05-15T00:08:10,6172213,2,307.37
2024-05-15T00:08:31,3091173,2,-551.55
2024-05-15T00:08:32,2545427,1,332.95
2024-05-15T00:08:36,4939865,3,422.41
2024-05-15T00:08:55,7823977,1,149.24
2024-05-15T00:09:06,5898041,1,312.14
2024-05-15T00:09:08,3181320,1,685.37
2024-05-15T00:09:22,6049726,3,339.21
2024-05-15T00:09:22,5323872,3,-280.0
2024-05-15T00:09:28,5639544,3,-262.27
2024-05-15T00:09:32,8929678,3,-236.74
2024-05-15T00:09:33,9262538,4,-841.67
2024-05-15T00:09:50,1347257,4,466.43
2024-05-15T00:10:02,8855007,1,113.91
2024-05-15T00:10:03,5104677,4,120.2
2024-05-15T00:10:04,1601521,4,-144.4
2024-05-15T00:10:07,6614002,3,965.53
2024-05-15T00:10:12,5217721,1,-563.98
2024-05-15T00:10:13,7042043,1,574.7
2024-05-15T00:10:15,7752092,3,342.06
2024-05-15T00:10:24,3587264,1,234.45
2024-05-15T00:10:38,3676755,3,294.6
2024-05-15T00:10:55,7797835,4,140.98
2024-05-15T00:10:59,8640985,1,125.87
2024-05-15T00:10:59,9470375,3,455.88
2024-05-15T00:11:14,1396259,2,1213.7
2024-05-15T00:11:38,8815819,3,220.31
2024-05-15T00:11:57,1628692,4,251.63
2024-05-15T00:12:44,3352065,3,-1234.88
2024-05-15T00:12:51,1410812,4,258.13
2024-05-15T00:13:02,8526199,4,1216.91
2024-05-15T00:13:12,1885952,1,477.68
2024-05-15T00:13:36,9652530,3,165.41
2024-05-15T00:13:42,3720429,1,241.8
2024-05-15T00:14:00,9832305,4,-301.72
2024-05-15T00:14:30,7248226,2,-1784.16
2024-05-15T00:14:32,6414920,3,-146.72
2024-05-15T00:14:52,8342559,3,170.27
2024-05-15T00:14:53,9723858,3,1303.48
2024-05-15T00:14:55,6574838,2,193.23
2024-05-15T00:14:57,7643001,4,-268.85
2024-05-15T00:14:59,4755978,4,5489.04
2024-05-15T00:15:00,4220462,2,470.74
2024-05-15T00:15:04,9974463,4,810.61
2024-05-15T00:15:05,7846736,2,161.8
2024-05-15T00:15:12,7685714,4,358.24
2024-05-15T00:15:27,3442071,3,-269.34
2024-05-15T00:16:02,6045079,3,12247.92
2024-05-15T00:16:40,7141888,4,141.37
2024-05-15T00:16:46,9311242,1,227.93
2024-05-15T00:16:51,9850427,2,318.84
2024-05-15T00:16:55,2294770,3,1015.9
2024-05-15T00:17:05,6456646,2,-448.8
2024-05-15T00:17:09,7173832,1,133.33
2024-05-15T00:17:14,9403233,1,507.0
2024-05-15T00:17:15,6005055,2,354.72
2024-05-15T00:17:20,5943351,1,106.41
2024-05-15T00:17:23,9869973,2,258.51
2024-05-15T00:17:40,3173969,4,502.51
2024-05-15T00:17:41,4839481,1,7816.17
2024-05-15T00:18:03,7182619,1,219.42
2024-05-15T00:18:04,6596706,4,1357.82
2024-05-15T00:18:06,9646157,2,-251.86
2024-05-15T00:18:29,7105509,1,390.49
2024-05-15T00:18:41,6438096,4,-209.9
2024-05-15T00:18:46,6509838,3,995.16
2024-05-15T00:18:54,5849171,2,124.76
2024-05-15T00:18:57,8694591,4,651.79
2024-05-15T00:18:57,8230200,2,2581.94
2024-05-15T00:18:58,5415468,2,2414.26
2024-05-15T00:19:01,4884045,3,3639.75
2024-05-15T00:19:10,8321515,3,240.8
2024-05-15T00:19:21,8716018,2,391.63
2024-05-15T00:19:25,6246044,1,2398.8
2024-05-15T00:19:33,5849095,4,881.46
2024-05-15T00:19:47,1190228,2,252.19
2024-05-15T00:19:48,6658042,4,179.86
2024-05-15T00:19:52,2779601,1,-223.61
2024-05-15T00:20:05,5557950,1,199.53
2024-05-15T00:20:07,8962925,3,-142.5
2024-05-15T00:20:12,5602798,4,-176.07
2024-05-15T00:20:16,5224559,1,336.03
2024-05-15T00:20:25,2345499,4,-115.27
2024-05-15T00:20:29,4561215,2,1150.32
2024-05-15T00:20:42,4163152,4,639.4
2024-05-15T00:20:45,3923926,2,-1108.52
2024-05-15T00:20:46,9725651,4,1536.33
2024-05-15T00:20:47,9780907,3,378.07
2024-05-15T00:20:47,8065487,4,276.9
2024-05-15T00:20:49,8299046,1,295.1
2024-05-15T00:20:58,6491416,1,2267.22
2024-05-15T00:21:05,3784254,3,-304.94
2024-05-15T00:21:11,1919920,2,576.81
2024-05-15T00:21:11,1785161,1,122.96
2024-05-15T00:21:22,2251665,4,2884.83
2024-05-15T00:21:40,6804468,1,3163.43
2024-05-15T00:21:42,7637940,3,118.75
2024-05-15T00:21:47,8048093,1,2553.36
2024-05-15T00:21:51,3280337,3,326.94
2024-05-15T00:21:59,8650864,2,-244.6
2024-05-15T00:21:59,1628652,4,365.15
2024-05-15T00:22:06,9248806,1,223.94
2024-05-15T00:22:07,5187717,4,914.77
2024-05-15T00:22:18,2469522,4,1854.46
2024-05-15T00:22:21,4720469,1,-603.12
2024-05-15T00:22:38,7472828,4,502.56
2024-05-15T00:22:40,8522860,3,140.19
2024-05-15T00:22:40,3150424,1,273.07
2024-05-15T00:22:56,8517315,1,323.14
2024-05-15T00:22:56,7735599,3,157.95
2024-05-15T00:23:07,8355547,1,751.17
2024-05-15T00:23:08,3911449,3,171.07
2024-05-15T00:23:23,8815255,1,150.74
2024-05-15T00:23:40,3858553,3,208.93
2024-05-15T00:23:43,5682913,1,228.9
2024-05-15T00:23:45,9425665,3,-220.22
2024-05-15T00:23:57,1287566,1,298.47
2024-05-15T00:23:57,5965916,4,155.52
2024-05-15T00:24:02,4375652,4,188.21
2024-05-15T00:24:03,8715412,4,186.55
2024-05-15T00:24:36,9465149,2,803.69
2024-05-15T00:24:43,3715620,3,299.83
2024-05-15T00:24:50,4148576,4,244.38
2024-05-15T00:24:59,3195863,3,-150.55
2024-05-15T00:25:00,2780077,3,-385.38
2024-05-15T00:25:06,6131607,1,-129.6
2024-05-15T00:25:19,2966080,2,-191.28
2024-05-15T00:25:19,3894467,2,-405.59
2024-05-15T00:25:31,8095128,4,-157.74
2024-05-15T00:25:52,4681203,4,-266.7
2024-05-15T00:26:02,3562326,2,3426.12
2024-05-15T00:26:02,7589325,1,1834.96
2024-05-15T00:26:09,8365135,2,556.76
2024-05-15T00:26:13,7244063,1,238.03
2024-05-15T00:26:15,7390870,1,1000.87
2024-05-15T00:26:15,2680121,1,151.64
2024-05-15T00:26:21,3843101,1,169.67
2024-05-15T00:26:23,9949446,2,342.81
2024-05-15T00:26:24,8003121,1,261.14
2024-05-15T00:26:34,6235016,4,350.91
2024-05-15T00:26:34,2448527,2,533.56
2024-05-15T00:26:44,3091541,4,805.52
2024-05-15T00:26:51,1503127,4,397.49
2024-05-15T00:26:54,9616053,3,-246.27
2024-05-15T00:26:58,8201258,3,2096.86
2024-05-15T00:27:00,6564306,4,7798.99
2024-05-15T00:27:08,8583434,1,1177.45
2024-05-15T00:27:09,4175883,2,882.56
2024-05-15T00:27:11,3836424,3,694.97
2024-05-15T00:27:28,8177628,4,-1061.14
2024-05-15T00:27:29,4165258,1,546.18
